conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.79E+18,Thu May 02 06:50:01 +0000 2024,0,@C_D3pp pantesan pegawai bea cukai kaya kaya banget jir,1.79E+18,,C_D3pp,in,"Sukabumi, Indonesia",0,0,0,https://twitter.com/Sijampang_ngora/status/1785924688289673621,317767300,Sijampang_ngora
1.79E+18,Thu May 02 06:47:39 +0000 2024,0,bukan maen how long bea cukai can go~,1.79E+18,,,in,,0,0,0,https://twitter.com/wanggar_/status/1785924093516419286,8.31E+17,wanggar_
1.79E+18,Thu May 02 06:47:16 +0000 2024,0,@lazuandi @medyrenaldy_ Ramekan akun bea cukai,1.79E+18,,lazuandi,in,,0,0,0,https://twitter.com/Zakf25/status/1785923995398988146,1.48E+18,Zakf25
1.79E+18,Thu May 02 06:46:52 +0000 2024,0,SYL kalo jadi kepala Bea Cukai punya paman di MK dan bapaknya presiden- pasti Indonesia bisa melesat meninggalkan Amerika Serikat,1.79E+18,,,in,,0,0,0,https://twitter.com/BapacknyaAruna/status/1785923898024100208,9.64E+17,BapacknyaAruna
1.79E+18,Thu May 02 06:45:39 +0000 2024,0,@NephilaXmus @prastow Bea cukai bisa sepi kalau dicek satu satu,1.79E+18,,NephilaXmus,in,Indonesia,0,0,0,https://twitter.com/XRenSteve/status/1785923588962635826,1.68E+18,XRenSteve
1.79E+18,Thu May 02 06:41:35 +0000 2024,1,eh berarti orang bea cukai harus belajar ttg fashion industry dong? kwoakwo seru jg kayak harus bisa bedain barang kw premium sm asli,1.79E+18,,,in,"Ile-de-France, France",0,0,0,https://twitter.com/nengpalingjegeg/status/1785922567951266201,9.30E+17,nengpalingjegeg
1.79E+18,Thu May 02 06:39:59 +0000 2024,0,Gta VI ga rilis-rilis ketahan bea cukai,1.79E+18,,,in,,0,0,0,https://twitter.com/michreinaldo/status/1785922165763956967,914585743,michreinaldo
1.79E+18,Thu May 02 06:37:11 +0000 2024,0,@s0ndelurus Bea cukai?,1.79E+18,,s0ndelurus,in,"Sulawesi Utara, Indonesia",0,0,0,https://twitter.com/13_4ndy/status/1785921460189749694,1.60E+18,13_4ndy
1.79E+18,Thu May 02 06:26:47 +0000 2024,0,Bea Cukai Bojonegoro Musnahkan 8 Juta Batang Rokok Ilegal #RokokIlegL #BeaCukai #BeaCukaiBojonegoro https://t.co/wTCssjqqpi,1.79E+18,,,in,Yogyakarta,0,0,0,https://twitter.com/republikajogja/status/1785918844051345781,1.18E+18,republikajogja
1.79E+18,Thu May 02 06:23:57 +0000 2024,0,@C_D3pp Kalo ada instansi yang bikin acara tv udah pasti instansi itu ga bener contoh bea cukai ini sama polisi. Mereka tau kerja mereka buruk tapi pengen citra bagus jadi bikin acara tv buat pembodohan rakyat. Ya kan? @beacukaiRI @DivHumas_Polri,1.79E+18,,C_D3pp,in,"DKI Jakarta, Indonesia",0,0,0,https://twitter.com/fajarrmat/status/1785918130684137933,1.32E+18,fajarrmat
1.79E+18,Thu May 02 06:22:15 +0000 2024,0,@Artic_monkey12 Mending d lelang trus sumbangin ke bea cukai biar mereka bisa beli tas kw,1.79E+18,,Artic_monkey12,in,,0,0,0,https://twitter.com/ElVino71533385/status/1785917699970994267,1.54E+18,ElVino71533385
1.79E+18,Thu May 02 06:20:53 +0000 2024,0,@pleasingsoul iyaa baru baru ini heboh lagi gara gara mereka contact bima selebtok asal lampung yang kuliah kerja di aussie buat bikin video ngereview yang baik baik soal bea cukai,1.79E+18,,pleasingsoul,in,tulip-on-the-bulb,0,1,0,https://twitter.com/nouriishaa/status/1785917356725916118,1.39E+18,nouriishaa
1.79E+18,Thu May 02 06:19:36 +0000 2024,0,@kompascom Buat kepentingan anak SLB saja Di persulit.. Kepretttt pake integral lipat 3 bu SMI..... Tuman tuh bea cukai *Evaluasi tuh kinerja &amp; mental pejabat nya ,1.79E+18,,kompascom,in,jakarta,0,0,0,https://twitter.com/abas_jo/status/1785917035287072804,3238948560,abas_jo
1.79E+18,Thu May 02 06:18:56 +0000 2024,0,@lhalimawan666 ketahan bea cukai sir mending jangan,1.79E+18,,lhalimawan666,in,,0,0,0,https://twitter.com/vevlr_/status/1785916869104525569,1.58E+18,vevlr_
1.79E+18,Thu May 02 06:14:49 +0000 2024,1,@medyrenaldy_ bea cukai yang pertama kali unboxing Megatron apa gamau upload juga kh biar dapet engagement? jadi saingan bang medy trending #1 ,1.79E+18,,medyrenaldy_,in,,0,0,0,https://twitter.com/ultramenpilek/status/1785915830741729600,1.66E+18,ultramenpilek
